Slope,Elevation,Corina,Target
214,2393,Bare rocks,1.0
211,2387,Bare rocks,1.0
207,2387,Bare rocks,1.0
213,2405,Bare rocks,1.0
210,2406,Bare rocks,1.0
208,2396,Bare rocks,1.0
205,2399,Bare rocks,1.0
203,2396,Bare rocks,1.0
202,2392,Bare rocks,1.0
207,2416,Bare rocks,1.0
205,2420,Bare rocks,1.0
203,2420,Bare rocks,1.0
203,2419,Bare rocks,1.0
202,2412,Bare rocks,1.0
202,2407,Bare rocks,1.0
203,2403,Bare rocks,1.0
204,2392,Bare rocks,1.0
205,2385,Bare rocks,1.0
215,2438,Bare rocks,1.0
216,2439,Bare rocks,1.0
212,2436,Bare rocks,1.0
205,2436,Bare rocks,1.0
202,2433,Bare rocks,1.0
202,2422,Bare rocks,1.0
203,2416,Bare rocks,1.0
205,2411,Bare rocks,1.0
206,2399,Bare rocks,1.0
207,2395,Bare rocks,1.0
207,2393,Bare rocks,1.0
208,2392,Bare rocks,1.0
209,2390,Bare rocks,1.0
209,2391,Bare rocks,1.0
206,2397,Bare rocks,1.0
201,2394,Bare rocks,1.0
200,2393,Bare rocks,1.0
200,2398,Bare rocks,1.0
224,2453,Bare rocks,1.0
221,2452,Bare rocks,1.0
221,2454,Bare rocks,1.0
212,2449,Bare rocks,1.0
208,2446,Bare rocks,1.0
204,2440,Bare rocks,1.0
205,2429,Bare rocks,1.0
207,2426,Bare rocks,1.0
208,2418,Bare rocks,1.0
207,2412,Bare rocks,1.0
208,2410,Bare rocks,1.0
209,2409,Bare rocks,1.0
209,2411,Bare rocks,1.0
208,2406,Bare rocks,1.0
208,2408,Bare rocks,1.0
207,2409,Bare rocks,1.0
211,2409,Bare rocks,1.0
223,2468,Bare rocks,1.0
225,2462,Bare rocks,1.0
222,2463,Bare rocks,1.0
219,2461,Bare rocks,1.0
208,2457,Bare rocks,1.0
210,2455,Bare rocks,1.0
207,2448,Bare rocks,1.0
209,2439,Bare rocks,1.0
208,2433,Bare rocks,1.0
207,2430,Bare rocks,1.0
208,2431,Bare rocks,1.0
210,2423,Bare rocks,1.0
212,2424,Bare rocks,1.0
212,2421,Bare rocks,1.0
217,2418,Bare rocks,1.0
219,2425,Bare rocks,1.0
233,2430,Bare rocks,1.0
220,2479,Bare rocks,1.0
221,2475,Bare rocks,1.0
224,2472,Bare rocks,1.0
225,2473,Bare rocks,1.0
222,2471,Bare rocks,1.0
222,2466,Bare rocks,1.0
216,2460,Bare rocks,1.0
215,2453,Bare rocks,1.0
211,2451,Bare rocks,1.0
210,2443,Bare rocks,1.0
209,2445,Bare rocks,1.0
211,2440,Bare rocks,1.0
219,2435,Bare rocks,1.0
221,2436,Bare rocks,1.0
232,2437,Bare rocks,1.0
232,2439,Bare rocks,1.0
241,2442,Bare rocks,1.0
216,2490,Bare rocks,1.0
220,2489,Bare rocks,1.0
222,2484,Bare rocks,1.0
226,2483,Bare rocks,1.0
225,2478,Bare rocks,1.0
222,2472,Bare rocks,1.0
219,2463,Bare rocks,1.0
218,2464,Bare rocks,1.0
214,2459,Bare rocks,1.0
220,2456,Bare rocks,1.0
216,2455,Bare rocks,1.0
225,2453,Bare rocks,1.0
231,2450,Bare rocks,1.0
237,2450,Bare rocks,1.0
241,2449,Bare rocks,1.0
242,2451,Bare rocks,1.0
218,2503,Bare rocks,1.0
217,2504,Bare rocks,1.0
219,2502,Bare rocks,1.0
222,2500,Bare rocks,1.0
223,2488,Bare rocks,1.0
224,2483,Bare rocks,1.0
222,2476,Bare rocks,1.0
227,2473,Bare rocks,1.0
225,2472,Bare rocks,1.0
228,2471,Bare rocks,1.0
230,2467,Bare rocks,1.0
233,2466,Bare rocks,1.0
240,2463,Bare rocks,1.0
241,2461,Bare rocks,1.0
243,2455,Bare rocks,1.0
221,2520,Bare rocks,1.0
220,2512,Bare rocks,1.0
219,2509,Bare rocks,1.0
222,2497,Bare rocks,1.0
