OBJECTID;Corine_Slide;X;Y;Corine_Slide_1;OBJECTID_1;Elev_slidee;X_1;Y_1;Elev_slidee_1;OBJECTID_12;Slope_slide;X_12;Y_12;Slope_slide_1
1;332;7239844,697799999300000;2278987,178999999500000;332,000000000000000;1;2393;7239844,697799999300000;2278987,178999999500000;2393,000000000000000;1;214;7239844,697799999300000;2278987,178999999500000;214,000000000000000
2;332;7239869,697799999300000;2278987,178999999500000;332,000000000000000;2;2387;7239869,697799999300000;2278987,178999999500000;2387,000000000000000;2;211;7239869,697799999300000;2278987,178999999500000;211,000000000000000
3;332;7239894,697799999300000;2278987,178999999500000;332,000000000000000;3;2387;7239894,697799999300000;2278987,178999999500000;2387,000000000000000;3;207;7239894,697799999300000;2278987,178999999500000;207,000000000000000
4;332;7239819,697799999300000;2278962,178999999500000;332,000000000000000;4;2405;7239819,697799999300000;2278962,178999999500000;2405,000000000000000;4;213;7239819,697799999300000;2278962,178999999500000;213,000000000000000
5;332;7239844,697799999300000;2278962,178999999500000;332,000000000000000;5;2406;7239844,697799999300000;2278962,178999999500000;2406,000000000000000;5;210;7239844,697799999300000;2278962,178999999500000;210,000000000000000
6;332;7239869,697799999300000;2278962,178999999500000;332,000000000000000;6;2396;7239869,697799999300000;2278962,178999999500000;2396,000000000000000;6;208;7239869,697799999300000;2278962,178999999500000;208,000000000000000
7;332;7239894,697799999300000;2278962,178999999500000;332,000000000000000;7;2399;7239894,697799999300000;2278962,178999999500000;2399,000000000000000;7;205;7239894,697799999300000;2278962,178999999500000;205,000000000000000
8;332;7239919,697799999300000;2278962,178999999500000;332,000000000000000;8;2396;7239919,697799999300000;2278962,178999999500000;2396,000000000000000;8;203;7239919,697799999300000;2278962,178999999500000;203,000000000000000
9;332;7239944,697799999300000;2278962,178999999500000;332,000000000000000;9;2392;7239944,697799999300000;2278962,178999999500000;2392,000000000000000;9;202;7239944,697799999300000;2278962,178999999500000;202,000000000000000
10;332;7239819,697799999300000;2278937,178999999500000;332,000000000000000;10;2416;7239819,697799999300000;2278937,178999999500000;2416,000000000000000;10;207;7239819,697799999300000;2278937,178999999500000;207,000000000000000
11;332;7239844,697799999300000;2278937,178999999500000;332,000000000000000;11;2420;7239844,697799999300000;2278937,178999999500000;2420,000000000000000;11;205;7239844,697799999300000;2278937,178999999500000;205,000000000000000
