OID_;CID;RASTERVALU;OID_1;CID_1;RASTERVALU_1;OID_12;CID_12;RASTERVALU_12
;1;231;1;1;2409;1;1;321
;1;204;2;1;2588;2;1;332
;1;223;3;1;1971;3;1;333
;1;241;4;1;2628;4;1;321
;1;184;5;1;2132;5;1;332
;1;250;6;1;1848;6;1;212
;1;247;7;1;2065;7;1;333
;1;231;8;1;2206;8;1;321
;1;250;9;1;1848;9;1;411
;1;250;10;1;1847;10;1;411
;1;229;11;1;2320;11;1;333
;1;230;12;1;2217;12;1;321
;1;229;13;1;2059;13;1;333
;1;205;14;1;2757;14;1;332
;1;235;15;1;2704;15;1;332
;1;223;16;1;2338;16;1;333
;1;239;17;1;2566;17;1;333
;1;230;18;1;3515;18;1;332
;1;214;19;1;2910;19;1;321
;1;248;20;1;2625;20;1;333
;1;238;21;1;2340;21;1;333
;1;222;22;1;2986;22;1;333
;1;250;23;1;1855;23;1;231
;1;246;24;1;2346;24;1;333
;1;232;25;1;2558;25;1;333
;1;237;26;1;2554;26;1;321
;1;250;27;1;1855;27;1;212
;1;224;28;1;3009;28;1;332
;1;237;29;1;2416;29;1;333
;1;226;30;1;2431;30;1;333
;1;229;31;1;1468;31;1;332
;1;247;32;1;2521;32;1;332
;1;249;33;1;1912;33;1;321
;1;219;34;1;2560;34;1;332
;1;224;35;1;2876;35;1;333
;1;245;36;1;2430;36;1;333
;1;249;37;1;2209;37;1;332
;1;193;38;1;1807;38;1;311
;1;247;39;1;1921;39;1;231
;1;238;40;1;2572;40;1;333
;1;245;41;1;1866;41;1;333
;1;201;42;1;1413;42;1;332
;1;184;43;1;3448;43;1;332
;1;231;44;1;2969;44;1;332
;1;249;45;1;1882;45;1;243
;1;250;46;1;1853;46;1;212
;1;243;47;1;2289;47;1;321
;1;228;48;1;2102;48;1;333
;1;249;49;1;1981;49;1;321
;1;232;50;1;2575;50;1;332
;1;224;51;1;1834;51;1;324
;1;246;52;1;2659;52;1;321
;1;208;53;1;2462;53;1;321
;1;224;54;1;3141;54;1;321
;1;195;55;1;2680;55;1;332
;1;212;56;1;3597;56;1;332
;1;243;57;1;2070;57;1;333
;1;208;58;1;1890;58;1;333
;1;203;59;1;3054;59;1;332
;1;196;60;1;2023;60;1;324
;1;208;61;1;3235;61;1;332
;1;250;62;1;1852;62;1;243
;1;248;63;1;2412;63;1;333
;1;220;64;1;2434;64;1;321
;1;250;65;1;1850;65;1;211
;1;229;66;1;2023;66;1;321
;1;242;67;1;2223;67;1;332
;1;223;68;1;2439;68;1;321
;1;232;69;1;1609;69;1;324
;1;226;70;1;2511;70;1;321
;1;245;71;1;1629;71;1;321
;1;196;72;1;1469;72;1;324
;1;213;73;1;3039;73;1;333
;1;250;74;1;1852;74;1;211
;1;246;75;1;2758;75;1;321
;1;247;76;1;2391;76;1;333
;1;151;77;1;2280;77;1;332
;1;223;78;1;1886;78;1;332
;1;226;79;1;1682;79;1;333
;1;180;80;1;2121;80;1;333
;1;250;81;1;1850;81;1;212
;1;211;82;1;2357;82;1;333
;1;250;83;1;1849;83;1;411
;1;242;84;1;3154;84;1;333
;1;227;85;1;2111;85;1;333
;1;244;86;1;2146;86;1;332
;1;214;87;1;2142;87;1;333
;1;239;88;1;2455;88;1;332
;1;241;89;1;2210;89;1;333
;1;248;90;1;3150;90;1;333
;1;240;91;1;2587;91;1;333
;1;236;92;1;2170;92;1;333
;1;219;93;1;2339;93;1;321
;1;204;94;1;1910;94;1;332
;1;248;95;1;1925;95;1;212
;1;217;96;1;2342;96;1;333
;1;250;97;1;1852;97;1;231
;1;208;98;1;1829;98;1;333
;1;210;99;1;2091;99;1;332
;1;240;100;1;2271;100;1;321
;1;188;101;1;1936;101;1;333
